Question ID,Quant. views,Quant. answers,Score,Título da Question,Tags,Link da Question
11227809,1546194,26,25020,Why is processing a sorted array faster than processing an unsorted array?,"java, c++, performance, optimization, branch-prediction",https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array
927358,9054606,87,21855,How do I undo the most recent local commits in Git?,"git, version-control, git-commit, undo",https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git
2003505,8468557,40,17437,How do I delete a Git branch locally and remotely?,"git, version-control, git-branch, git-push, git-remote",https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely
292357,2876356,36,12223,What is the difference between 'git pull' and 'git fetch'?,"git, version-control, git-pull, git-fetch",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
231767,2351357,42,10672,"What does the ""yield"" keyword do?","python, iterator, generator, yield, coroutine",https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do
477816,2962813,36,10483,What is the correct JSON content type?,"json, http-headers, content-type",https://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type
348170,3346267,37,9349,How do I undo 'git add' before commit?,"git, version-control, git-commit, git-stage",https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit
1642028,824292,24,9192,"What is the ""-->"" operator in C++?","c++, c, operators, code-formatting, standards-compliance",https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c
6591213,3146398,34,8955,How do I rename a local Git branch?,"git, version-control, git-branch",https://stackoverflow.com/questions/6591213/how-do-i-rename-a-local-git-branch
5767325,7340684,99,8808,How can I remove a specific item from an array?,"javascript, arrays",https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array
79923,1544897,29,8310,What and where are the stack and heap?,"memory-management, stack, language-agnostic, heap, dynamic-memory-allocation",https://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap
244777,2480546,53,7938,Can comments be used in JSON?,"json, comments",https://stackoverflow.com/questions/244777/can-comments-be-used-in-json
178325,2750309,59,7937,How do I check if an element is hidden in jQuery?,"javascript, jquery, dom, visibility",https://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery
8318911,613147,9,7832,Why does HTML think “chucknorris” is a color?,"html, browser, background-color",https://stackoverflow.com/questions/8318911/why-does-html-think-chucknorris-is-a-color
503093,6503714,58,7718,How do I redirect to another webpage?,"javascript, jquery, redirect",https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage
1335851,1107507,28,7702,"What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","javascript, syntax, jslint, use-strict",https://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it
179123,2690586,27,7660,"How to modify existing, unpushed commit messages?","git, git-commit, git-rewrite-history, amend",https://stackoverflow.com/questions/179123/how-to-modify-existing-unpushed-commit-messages
111102,1476635,86,7633,How do JavaScript closures work?,"javascript, function, variables, scope, closures",https://stackoverflow.com/questions/111102/how-do-javascript-closures-work
4114095,6504026,41,7627,How do I revert a Git repository to a previous commit?,"git, git-checkout, git-reset, git-revert",https://stackoverflow.com/questions/4114095/how-do-i-revert-a-git-repository-to-a-previous-commit
1125968,5225342,46,7591,"How do I force ""git pull"" to overwrite local files?","git, version-control, overwrite, git-pull, git-fetch",https://stackoverflow.com/questions/1125968/how-do-i-force-git-pull-to-overwrite-local-files
1789945,6357719,3,7424,How to check whether a string contains a substring in JavaScript?,"javascript, string, substring, string-matching",https://stackoverflow.com/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript
61212,2365593,39,7058,How to remove local (untracked) files from the current Git working tree,"git, branch, git-branch",https://stackoverflow.com/questions/61212/how-to-remove-local-untracked-files-from-the-current-git-working-tree
336859,1054993,40,7036,var functionName = function() {} vs function functionName() {},"javascript, function, syntax, idioms",https://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname
6841333,710245,10,7025,Why is subtracting these two times (in 1927) giving a strange result?,"java, date, timezone",https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result
1783405,5475364,34,6990,How do I check out a remote Git branch?,"git, git-checkout, remote-branch",https://stackoverflow.com/questions/1783405/how-do-i-check-out-a-remote-git-branch
40480,2059870,83,6797,"Is Java ""pass-by-reference"" or ""pass-by-value""?","java, methods, parameter-passing, pass-by-reference, pass-by-value",https://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value
7074,1120211,62,6735,What is the difference between String and string in C#?,"c#, .net, string, types, alias",https://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c
419163,3206244,34,6436,"What does if __name__ == ""__main__"": do?","python, namespaces, main, python-module, idioms",https://stackoverflow.com/questions/419163/what-does-if-name-main-do
208105,2340168,28,6353,How do I remove a property from a JavaScript object?,"javascript, javascript-objects",https://stackoverflow.com/questions/208105/how-do-i-remove-a-property-from-a-javascript-object
394809,2013690,26,6335,Does Python have a ternary conditional operator?,"python, operators, ternary-operator, conditional-operator",https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator
2025282,1293503,33,5937,"What is the difference between ""px"", ""dip"", ""dp"" and ""sp""?","android, android-layout, user-interface, dimension, units-of-measurement",https://stackoverflow.com/questions/2025282/what-is-the-difference-between-px-dip-dp-and-sp
100003,839486,22,5931,What are metaclasses in Python?,"python, oop, metaclass, python-datamodel",https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python
82831,4083128,39,5852,How do I check whether a file exists without exceptions?,"python, file, file-exists",https://stackoverflow.com/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions
1274057,1362677,27,5792,"How to make Git ""forget"" about a file that was tracked but is now in .gitignore?","git, gitignore, git-rm",https://stackoverflow.com/questions/1274057/how-to-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitignore
14220321,1565728,41,5735,How do I return the response from an asynchronous call?,"javascript, jquery, ajax, asynchronous",https://stackoverflow.com/questions/14220321/how-do-i-return-the-response-from-an-asynchronous-call
359494,1847531,49,5662,Which equals operator (== vs ===) should be used in JavaScript comparisons?,"javascript, operators, equality, equality-operator, identity-operator",https://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons
16956810,7092917,50,5576,How do I find all files containing specific text on Linux?,"linux, text, grep, directory, find",https://stackoverflow.com/questions/16956810/how-do-i-find-all-files-containing-specific-text-on-linux
630453,2470677,34,5524,PUT vs. POST in REST,"http, rest, post, put",https://stackoverflow.com/questions/630453/put-vs-post-in-rest
549,615581,12,5426,The definitive guide to form-based website authentication,"security, http, authentication, language-agnostic, article",https://stackoverflow.com/questions/549/the-definitive-guide-to-form-based-website-authentication
950087,3355724,62,5408,How do I include a JavaScript file in another JavaScript file?,"javascript, file, import, include",https://stackoverflow.com/questions/950087/how-do-i-include-a-javascript-file-in-another-javascript-file
826782,2063657,48,5387,How to disable text selection highlighting,"css, cross-browser, highlight, textselection",https://stackoverflow.com/questions/826782/how-to-disable-text-selection-highlighting
1628563,1124807,14,5243,Move the most recent commit(s) to a new branch with Git,"git, git-branch, branching-and-merging",https://stackoverflow.com/questions/1628563/move-the-most-recent-commits-to-a-new-branch-with-git
38987,2032702,47,5196,How do I merge two dictionaries in a single expression in Python (taking union of dictionaries)?,"python, dictionary, merge",https://stackoverflow.com/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-in-python-taking-union-o
122102,2121124,67,5177,What is the most efficient way to deep clone an object in JavaScript?,"javascript, object, clone",https://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript
59895,1828562,67,5170,How to get the source directory of a Bash script from within the script itself?,"bash, directory",https://stackoverflow.com/questions/59895/how-to-get-the-source-directory-of-a-bash-script-from-within-the-script-itself
89228,3537722,62,5081,How to call an external command?,"python, shell, terminal, subprocess, command",https://stackoverflow.com/questions/89228/how-to-call-an-external-command
52704,2762973,36,5027,How do I discard unstaged changes in Git?,"git, version-control",https://stackoverflow.com/questions/52704/how-do-i-discard-unstaged-changes-in-git
487258,715974,41,5012,"What is a plain English explanation of ""Big O"" notation?","algorithm, complexity-theory, computer-science, big-o, time-complexity",https://stackoverflow.com/questions/487258/what-is-a-plain-english-explanation-of-big-o-notation
417142,1313061,17,4993,What is the maximum length of a URL in different browsers?,"http, url, browser",https://stackoverflow.com/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers
161813,2828955,36,4904,How to resolve merge conflicts in Git repository?,"git, git-merge, merge-conflict-resolution, git-merge-conflict",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git-repository
9329446,4281244,40,4847,For-each over an array in JavaScript,"javascript, arrays, loops, foreach, iteration",https://stackoverflow.com/questions/9329446/for-each-over-an-array-in-javascript
762011,1405833,37,4801,"What's the difference between using ""let"" and ""var""?","javascript, scope, ecmascript-6, var, let",https://stackoverflow.com/questions/762011/whats-the-difference-between-using-let-and-var
38549,2369605,27,4785,"What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?","sql, database, join, inner-join, outer-join",https://stackoverflow.com/questions/38549/what-is-the-difference-between-inner-join-and-outer-join
215718,2097672,32,4722,How can I reset or revert a file to a specific revision?,"git, version-control, git-checkout",https://stackoverflow.com/questions/215718/how-can-i-reset-or-revert-a-file-to-a-specific-revision
901712,4252484,66,4697,How do I check whether a checkbox is checked in jQuery?,"javascript, jquery, html, checkbox",https://stackoverflow.com/questions/901712/how-do-i-check-whether-a-checkbox-is-checked-in-jquery
4456438,926039,9,4659,"How to pass ""Null"" (a real surname!) to a SOAP web service in ActionScript 3","apache-flex, actionscript, soap, coldfusion, wsdl",https://stackoverflow.com/questions/4456438/how-to-pass-null-a-real-surname-to-a-soap-web-service-in-actionscript-3
46155,3259412,96,4618,How to validate an email address in JavaScript,"javascript, regex, validation, email, email-validation",https://stackoverflow.com/questions/46155/how-to-validate-an-email-address-in-javascript
1144783,3590972,70,4614,How to replace all occurrences of a string?,"javascript, string, replace",https://stackoverflow.com/questions/1144783/how-to-replace-all-occurrences-of-a-string
3737139,691996,20,4602,Reference — What does this symbol mean in PHP?,"php, arguments, operators, symbols",https://stackoverflow.com/questions/3737139/reference-what-does-this-symbol-mean-in-php
14994391,839439,15,4513,"""Thinking in AngularJS"" if I have a jQuery background?","javascript, jquery, angularjs",https://stackoverflow.com/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background
2765421,3602054,15,4511,How do I push a new local branch to a remote Git repository and track it too?,"git, repository, git-branch, git-push, git-remote",https://stackoverflow.com/questions/2765421/how-do-i-push-a-new-local-branch-to-a-remote-git-repository-and-track-it-too
273192,2763896,27,4477,How can I safely create a nested directory?,"python, exception, path, directory, operating-system",https://stackoverflow.com/questions/273192/how-can-i-safely-create-a-nested-directory
406230,3566924,31,4477,Regular expression to match a line that doesn't contain a word,"regex, regex-negation",https://stackoverflow.com/questions/406230/regular-expression-to-match-a-line-that-doesnt-contain-a-word
176264,1171915,31,4474,"What is the difference between a URI, a URL and a URN?","http, url, uri, urn, rfc3986",https://stackoverflow.com/questions/176264/what-is-the-difference-between-a-uri-a-url-and-a-urn
114543,4179060,113,4465,How to horizontally center a <div>,"html, css, alignment, centering",https://stackoverflow.com/questions/114543/how-to-horizontally-center-a-div
115983,1050267,35,4434,How can I add an empty directory to a Git repository?,"git, directory, git-add",https://stackoverflow.com/questions/115983/how-can-i-add-an-empty-directory-to-a-git-repository
105034,1994742,55,4366,How to create a GUID / UUID,"javascript, guid, uuid",https://stackoverflow.com/questions/105034/how-to-create-a-guid-uuid
4089430,3054708,24,4311,How can I determine the URL that a local Git repository was originally cloned from?,"git, github, git-remote",https://stackoverflow.com/questions/4089430/how-can-i-determine-the-url-that-a-local-git-repository-was-originally-cloned-fr
67699,1303456,42,4250,How to clone all remote branches in Git?,"git, git-branch, git-clone, remote-branch",https://stackoverflow.com/questions/67699/how-to-clone-all-remote-branches-in-git
388242,2471987,1,4241,The Definitive C++ Book Guide and List,"c++, c++-faq",https://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list
426258,3348248,41,4226,"Setting ""checked"" for a checkbox with jQuery","javascript, jquery, checkbox, selected, checked",https://stackoverflow.com/questions/426258/setting-checked-for-a-checkbox-with-jquery
309424,2183182,59,4203,How do I read / convert an InputStream into a String in Java?,"java, string, io, stream, inputstream",https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java
2669690,549211,7,4166,Why does Google prepend while(1); to their JSON responses?,"javascript, json, ajax, security",https://stackoverflow.com/questions/2669690/why-does-google-prepend-while1-to-their-json-responses
237104,2703634,53,4161,How do I check if an array includes a value in JavaScript?,"javascript, arrays, algorithm, time-complexity, javascript-objects",https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript
2432764,1793270,25,4160,How to change the URI (URL) for a remote Git repository?,"git, url, git-remote",https://stackoverflow.com/questions/2432764/how-to-change-the-uri-url-for-a-remote-git-repository
134845,2338789,54,4151,"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","javascript, html, performance, optimization, href",https://stackoverflow.com/questions/134845/which-href-value-should-i-use-for-javascript-links-or-javascriptvoid0
221294,3039022,39,4150,How do you get a timestamp in JavaScript?,"javascript, date, datetime, timestamp, unix-timestamp",https://stackoverflow.com/questions/221294/how-do-you-get-a-timestamp-in-javascript
1628088,3582897,21,4135,Reset local repository branch to be just like remote repository HEAD,"git, undo",https://stackoverflow.com/questions/1628088/reset-local-repository-branch-to-be-just-like-remote-repository-head
2389361,2353491,33,4120,Undo a Git merge that hasn't been pushed yet,"git, undo, git-merge",https://stackoverflow.com/questions/2389361/undo-a-git-merge-that-hasnt-been-pushed-yet
271526,1281020,65,4109,How to avoid null checking in Java?,"java, object, nullpointerexception, null",https://stackoverflow.com/questions/271526/how-to-avoid-null-checking-in-java
2610497,1777654,37,4060,Change an HTML5 input's placeholder color with CSS,"css, html, placeholder, html-input",https://stackoverflow.com/questions/2610497/change-an-html5-inputs-placeholder-color-with-css
11828270,2231195,10,4045,How do I exit the Vim editor?,"vim, vi",https://stackoverflow.com/questions/11828270/how-do-i-exit-the-vim-editor
671118,1671007,35,4017,What exactly is RESTful programming?,"http, rest, definition",https://stackoverflow.com/questions/671118/what-exactly-is-restful-programming
14415881,415594,36,3954,How can I pair socks from a pile efficiently?,"algorithm, sorting, language-agnostic, matching",https://stackoverflow.com/questions/14415881/how-can-i-pair-socks-from-a-pile-efficiently
1026069,2196686,100,3943,How do I make the first letter of a string uppercase in JavaScript?,"javascript, string, letter, capitalize",https://stackoverflow.com/questions/1026069/how-do-i-make-the-first-letter-of-a-string-uppercase-in-javascript
1109022,1583204,112,3925,How do you close/hide the Android soft keyboard using Java?,"android, android-edittext, android-softkeyboard, android-input-method, soft-keyboard",https://stackoverflow.com/questions/1109022/how-do-you-close-hide-the-android-soft-keyboard-using-java
105372,808145,29,3888,How to enumerate an enum,"c#, .net, loops, enums, enumeration",https://stackoverflow.com/questions/105372/how-to-enumerate-an-enum
7244321,834667,23,3883,How do I update a GitHub forked repository?,"git, github, pull-request, git-fork",https://stackoverflow.com/questions/7244321/how-do-i-update-a-github-forked-repository
5189560,1882977,35,3845,Squash my last X commits together using Git,"git, rebase, squash, git-squash",https://stackoverflow.com/questions/5189560/squash-my-last-x-commits-together-using-git
59838,2857646,35,3838,How can I check if a directory exists in a Bash shell script?,"bash, shell, unix, posix",https://stackoverflow.com/questions/59838/how-can-i-check-if-a-directory-exists-in-a-bash-shell-script
40471,1565898,35,3835,What are the differences between a HashMap and a Hashtable in Java?,"java, collections, hashmap, hashtable",https://stackoverflow.com/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java
522563,2285822,20,3834,Accessing the index in 'for' loops?,"python, loops, list",https://stackoverflow.com/questions/522563/accessing-the-index-in-for-loops
2334712,4479241,35,3824,How do I UPDATE from a SELECT in SQL Server?,"sql, sql-server, tsql, select",https://stackoverflow.com/questions/2334712/how-do-i-update-from-a-select-in-sql-server
16047306,761453,20,3815,How is Docker different from a virtual machine?,"docker, containers, virtual-machine, virtualization",https://stackoverflow.com/questions/16047306/how-is-docker-different-from-a-virtual-machine
136097,821035,28,3757,Difference between staticmethod and classmethod,"python, oop, methods, python-decorators",https://stackoverflow.com/questions/136097/difference-between-staticmethod-and-classmethod
13375357,317758,11,3700,Proper use cases for Android UserManager.isUserAGoat()?,"java, android, usermanager",https://stackoverflow.com/questions/13375357/proper-use-cases-for-android-usermanager-isuseragoat
952914,2464476,44,3698,How to make a flat list out of list of lists?,"python, list, multidimensional-array, flatten",https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-list-of-lists
8710619,296904,11,3688,"Why don't Java's +=, -=, *=, /= compound assignment operators require casting?","java, casting, operators, variable-assignment, assignment-operator",https://stackoverflow.com/questions/8710619/why-dont-javas-compound-assignment-operators-require-casting
157944,1531158,41,3679,Create ArrayList from array,"java, arrays, arraylist, type-conversion",https://stackoverflow.com/questions/157944/create-arraylist-from-array
22343224,864420,19,3659,What's the difference between tilde(~) and caret(^) in package.json?,"node.js, npm, package.json, semantic-versioning",https://stackoverflow.com/questions/22343224/whats-the-difference-between-tilde-and-caret-in-package-json
