Nome repositório,Linguagem primária,Qt. menções da LP nas quest. do SO,Qt. menções da LP nas quest. do SO s/ repetição,Qt. menções do título das top issues nas quest. do SO,Qt. respostas da questions relacionadas as top issues,Score das questions relacionadas as top issues,Qt. menções do título das bottom issues nas quest. do SO,Qt. respostas da questions relacionadas as bottom issues,Score das questions relacionadas as bottom issues
freeCodeCamp,JavaScript,25,25,71,3361,373910,37,1657,176779
996.ICU,Rust,0,0,0,0,0,0,0,0
vue,JavaScript,25,0,24,1053,156971,32,1548,159003
react,JavaScript,25,0,17,938,104994,5,266,25477
free-programming-books,Vazio,0,0,37,1379,227948,50,1559,308728
tensorflow,C++,3,3,111,4642,606638,54,1939,294477
bootstrap,JavaScript,25,0,17,848,79195,15,841,73748
awesome,Vazio,0,0,18,444,80248,41,1189,229770
You-Dont-Know-JS,Vazio,0,0,63,3422,528772,74,4238,502923
coding-interview-university,Vazio,0,0,32,1084,191567,20,722,104562
ohmyzsh,Shell,2,2,135,4885,857639,116,3919,747964
developer-roadmap,Vazio,0,0,93,3405,538991,22,824,117205
gitignore,Vazio,0,0,0,0,0,0,0,0
CS-Notes,Java,9,9,16,685,95133,19,712,125386
vscode,TypeScript,0,0,0,0,0,0,0,0
javascript,JavaScript,25,0,35,1855,193493,90,4430,486894
system-design-primer,Python,11,11,5,123,20562,14,588,70332
flutter,Dart,0,0,0,0,0,0,0,0
d3,JavaScript,25,0,23,868,148983,16,817,82534
linux,C,1,1,0,0,0,0,0,0
react-native,JavaScript,25,0,47,2276,231612,44,1921,228553
Python-100-Days,Jupyter Notebook,0,0,1,60,5161,22,690,115786
electron,C++,3,0,13,610,68670,14,487,67780
awesome-python,Python,11,0,96,3123,556794,7,184,27080
public-apis,Python,11,0,16,464,81714,11,362,65197
create-react-app,JavaScript,25,0,19,1106,95257,29,1334,145495
JavaGuide,Java,9,0,22,846,121623,27,1002,180987
the-art-of-command-line,Vazio,0,0,18,834,94692,18,833,89600
axios,JavaScript,25,0,108,4891,574977,49,1865,278586
go,Go,0,0,22,905,115989,35,1478,173848
Python,Python,11,0,73,2740,373854,110,3560,575166
build-your-own-x,Vazio,0,0,202,9538,1102173,74,2589,395137
javascript-algorithms,JavaScript,25,0,25,983,114828,19,754,100268
node,JavaScript,25,0,13,489,76776,47,2155,245307
animate.css,CSS,3,3,10,348,51010,19,990,96107
free-programming-books-zh_CN,Vazio,0,0,0,0,0,0,0,0
youtube-dl,Python,11,0,38,1346,193672,27,813,129411
kubernetes,Go,0,0,0,0,0,17,718,86873
models,Python,11,0,48,2514,233889,3,140,20861
Font-Awesome,JavaScript,25,0,4,183,21664,8,436,44886
terminal,C++,3,0,21,1096,98962,32,1440,214569
puppeteer,JavaScript,25,0,22,827,117978,22,856,115074
angular,TypeScript,0,0,23,902,133130,22,698,103584
three.js,JavaScript,25,0,12,583,79547,8,330,76990
TypeScript,TypeScript,0,0,0,0,0,41,2189,227450
computer-science,Vazio,0,0,12,408,62241,2,48,13540
ant-design,TypeScript,0,0,40,1502,257317,5,207,21818
angular.js,JavaScript,25,0,46,2088,252874,31,1294,156392
laravel,PHP,1,1,0,0,0,0,0,0
java-design-patterns,Java,9,0,47,1819,287742,3,119,14295
material-ui,JavaScript,25,0,47,2391,317267,3,201,14663
moby,Go,0,0,41,1224,199772,41,1167,171924
30-seconds-of-code,JavaScript,25,0,18,874,111223,78,3998,411558
awesome-go,Go,0,0,48,1627,267232,10,337,46446
vue-element-admin,Vue,0,0,3,71,13016,7,370,41143
webpack,JavaScript,25,0,45,2221,255638,44,1966,227497
awesome-vue,Vazio,0,0,27,800,128350,14,511,76498
LeetCodeAnimation,Java,9,0,0,0,0,0,0,0
deno,TypeScript,0,0,70,2783,397233,5,202,22077
thefuck,Python,11,0,207,7173,1324614,232,8037,1486771
jquery,JavaScript,25,0,79,3663,470652,32,1361,202861
redux,TypeScript,0,0,29,1396,155978,22,1104,117681
atom,JavaScript,25,0,66,2366,414803,59,3156,317625
swift,C++,3,0,0,0,0,0,0,0
reveal.js,JavaScript,25,0,6,379,28556,15,797,79902
flask,Python,11,0,59,2279,318970,30,1371,156364
socket.io,JavaScript,25,0,2,86,12120,14,485,81931
shadowsocks-windows,C#,2,2,1,61,4003,7,225,33437
django,Python,11,0,0,0,0,0,0,0
elasticsearch,Java,9,0,40,1492,234156,12,521,85341
Chart.js,JavaScript,25,0,9,500,42180,38,1989,214941
express,JavaScript,25,0,18,712,98672,8,322,46546
next.js,JavaScript,25,0,26,1271,119493,7,306,39258
keras,Python,11,0,13,737,78123,24,1019,125980
storybook,TypeScript,0,0,22,1206,114192,23,1126,118684
Semantic-UI,JavaScript,25,0,28,1217,145386,18,902,80475
spring-boot,Java,9,0,22,882,127221,25,1027,137430
json-server,JavaScript,25,0,32,1403,182911,34,1250,174315
Apollo-11,Assembly,0,0,30,942,158534,2,99,10725
FiraCode,Clojure,0,0,9,275,46529,12,427,67616
httpie,Python,11,0,63,2183,383089,71,2312,379624
netdata,C,1,0,21,730,102885,30,1264,177289
markdown-here,JavaScript,25,0,13,763,65955,23,1219,116744
rails,Ruby,0,0,18,938,101396,33,1573,162262
architect-awesome,Vazio,0,0,0,0,0,3,127,12808
element,Vue,0,0,17,820,89846,4,175,20083
html5-boilerplate,JavaScript,25,0,51,2595,258318,42,1721,242102
lodash,JavaScript,25,0,61,3092,331363,37,1892,196742
rust,Rust,0,0,0,0,0,26,1498,141726
awesome-machine-learning,Python,11,0,63,2516,362052,88,3319,492847
opencv,C++,3,0,66,2645,364197,101,3502,553778
awesome-selfhosted,JavaScript,25,0,13,393,63508,54,1796,353239
Front-end-Developer-Interview-Questions,HTML,5,5,70,3009,357168,39,1891,215955
resume.github.com,JavaScript,25,0,40,1803,206851,16,611,66083
interviews,Java,9,0,28,1127,175341,28,1127,175341
gatsby,JavaScript,25,0,45,2306,260408,56,2327,327123
moment,JavaScript,25,0,26,1056,130378,16,496,98796
hugo,Go,0,0,25,1117,121815,29,1286,149497
nodebestpractices,JavaScript,25,0,20,482,166913,22,686,167945
advanced-java,Java,9,0,8,219,33607,0,0,0
